Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,87.25,84.94,82.06,85.12,87,87.38,88.5,87,85.88,84.12,83.12,83.25,85.5
Central,93,90.31,85.62,85.69,88.62,87.38,86.06,82.69,82.38,83.44,88.44,89.94,86.94
Southern,85.44,83.62,81.44,83.19,86.5,86.12,86.56,85.19,84,83.06,82.75,81.75,84.12
Northen,88.06,85.94,82.25,81.25,83.75,75.19,71.81,74.94,71.56,79.69,84.38,86,80.38
Easten,85.25,82.69,80.25,78.81,83.06,78.38,75.44,75.88,74,78.44,81.5,82.19,79.62
North Western,88.06,85.38,81.69,81.88,84.06,83.06,80.75,79.69,77,79.81,83.94,85,82.5
North Central,90.81,88.5,84.44,84.56,85.75,77.81,73.81,75.25,71.06,80.25,87.12,88.75,82.31
Uva,93.44,91.75,87.06,85.38,86.06,83.5,80.06,77.19,75.31,79.75,88.75,90.5,84.88
Sabaragamuwa,92.75,90.44,85.69,88.38,91.5,91,90.81,89.56,89.19,88.44,89.12,90,89.75
