Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.06,26.48,27.44,27.7,26.94,26.51,25.83,25.45,26.19,25.99,26.12,25.55,26.27
Central,22.72,24.26,25.9,27.13,25.87,25.28,25.22,25.17,26.07,24.98,24.21,23.32,25.01
Southern,26.08,26.46,27.37,27.77,27.46,26.9,26.6,26.19,26.73,26.62,26.74,26.55,26.79
Northen,25.02,26.3,28.02,29.39,28.18,28.15,28.54,28.57,28.99,27.03,26.12,25.48,27.48
Easten,25.51,26.37,27.67,28.8,28.46,28.06,28.37,28.44,28.94,27.37,26.87,26.26,27.59
North Western,25.59,27.31,28.66,29.03,27.71,27.2,26.9,26.82,27.6,26.9,26.29,25.65,27.13
North Central,24.48,26.31,27.73,28.83,27.1,27.08,27.68,27.92,28.71,26.24,25.36,24.67,26.84
Uva,22.03,22.82,24.16,25.19,25.23,24.55,24.51,24.93,25.92,24.34,23.8,22.94,24.21
Sabaragamuwa,20.76,22.01,23.17,24.06,23.43,22.76,22.37,22.18,22.83,22.55,22.26,21.47,22.49
