Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,1.71,2.14,7.18,2.84,9.18,3.13,1.45,3.29,5.82,8.77,9.85,4.85,5.04
Central,1.46,2.24,7.08,1.81,4.22,1.53,1.16,3.73,2.75,6.6,7.4,5.32,3.79
Southern,2.4,3.59,4.91,5.47,10.64,2.53,1.47,4.2,4.85,7.23,13.04,8.41,5.74
Northen,4,1.06,4.07,1.29,3.4,0.42,0.65,3.13,1.71,4.3,7.75,2.7,2.89
Easten,3.61,2.35,4.75,1.68,4.16,0.48,0.62,3.25,2.04,4.84,10.97,4.18,3.58
North Western,1.8,1.2,4.52,1.96,3.69,0.84,0.44,1.98,2.71,4.17,6.19,3.1,2.73
North Central,3.36,1.54,4.86,1.87,4.29,0.43,0.54,2.98,1.91,4.21,7.47,3.09,3.06
Uva,2.6,4.17,7.01,1.9,5.54,2.1,1.3,3.77,4.11,11.15,10.76,6.84,5.12
Sabaragamuwa,1.38,2.61,7.08,2.47,6.85,2.23,1.26,3.6,3.55,7.53,8.87,6.8,4.54
