Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,2.05,4.16,4.32,12.07,3.15,4.46,2.83,5.61,5.76,16.27,9.5,9.82,6.67
Central,1.65,4.68,2.41,7.52,0.54,1.79,2.08,2.01,2.53,13.43,9.01,15.36,5.25
Southern,1.91,4.5,4.04,10.54,2.05,3.17,2.45,6.72,7.55,12.72,12.04,9.27,6.4
Northen,1.04,1.05,1,3.23,0.09,0.26,0.94,0.36,2.39,16.53,6.02,17.03,4.19
Easten,1.13,3.01,1.52,3.47,0.07,0.26,1.38,0.39,3.58,18.57,7.96,20.99,5.22
North Western,0.98,1.78,2.38,5.28,0.37,1,1.01,1.34,1.65,14.19,6.12,12.3,4.05
North Central,1.03,1.77,1.58,3.86,0.06,0.24,1.08,0.29,1.96,17.18,6.82,18.06,4.52
Uva,1.87,5.88,2.67,8.53,0.96,1.45,1.21,2.29,3.96,10.06,9.01,15.27,5.25
Sabaragamuwa,1.86,4.55,3.1,9.32,1.45,2.53,2.54,3.79,4.22,12.46,10.25,12.07,5.67
