Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,0.86,4.27,1.53,7,2.48,3.88,2.94,7.98,11.06,16.41,11.7,8.12,6.52
Central,1.3,3.7,0.53,3.02,0.56,1.46,1.77,4.08,6.32,13.1,11.05,10.05,4.75
Southern,1.6,4.83,2.42,4.56,2.99,2.75,3.2,8.45,13.72,14.08,11.23,9.85,6.64
Northen,0.19,2.75,0.07,1.87,0.27,0.26,0.65,3.02,4.82,13.12,8.22,10.04,3.78
Easten,0.88,3.84,0.24,2.6,0.3,0.39,0.5,2.83,4.59,14.33,11.44,13.85,4.65
North Western,0.06,2.45,0.47,3.01,0.18,1.16,0.53,3.18,5.89,13.89,9.6,7.37,3.98
North Central,0.29,3.3,0.15,2.57,0.25,0.32,0.34,2.96,4.43,13.05,9.06,11.46,4.02
Uva,1.74,4.7,0.65,2.12,1.41,1.92,2.28,4.65,10.61,13.39,10.79,11.49,5.48
Sabaragamuwa,1.34,4.36,0.95,3.39,1.43,2.12,2.75,5.74,8.89,13.18,10.66,9.63,5.37
