Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,82.31,77.25,73.56,82.56,87.25,87.25,88.56,90.38,88.12,86.75,86.5,86.38,84.81
Central,88.81,85.19,75.06,81.12,88.25,86.38,86.19,86,86.56,88.44,90.19,92.62,86.25
Southern,79.94,79.19,75.88,82.69,85.5,85.5,86.06,86.19,85.56,83.5,84.5,84.19,83.25
Northen,83.75,81,71.5,73.69,79.19,73.88,70.62,74.81,78.06,84.81,86.44,89.56,78.94
Easten,80.25,78.44,73.69,75.31,79.19,75.19,74.56,76.5,78.19,82.5,84,86.06,78.69
North Western,82.94,77,67,77.31,83.88,80.94,80.38,83.38,82.44,85.25,85.88,87.88,81.19
North Central,86.25,82.44,70.12,74,81.88,74.25,72.38,75.62,78.75,85.81,88.81,91.69,80.19
Uva,90.06,88.25,82.38,83.75,86.12,83.31,81.12,76.56,77.81,81.62,88.31,91.69,84.25
Sabaragamuwa,88.44,84.94,81,85.69,91.62,90.88,91,91.06,90.62,91.19,91.31,92.81,89.25
