Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,82.62,78.75,77,81.06,85.12,87.38,87.56,86.38,84.12,81.94,83.69,80.56,83.06
Central,89.81,87.19,77.19,75.69,82.81,86.25,83.06,79.56,75.44,73.88,86.56,83.94,81.75
Southern,80.44,80.62,79.19,81,84.25,85.31,86.31,85.06,83.06,82.56,82.25,79.38,82.44
Northen,83.44,81.88,72.88,69,79.38,81.56,75.81,72.56,67.25,67.06,82.25,81.81,76.19
Easten,79.56,78.25,74.81,74.25,79.19,80.75,75.75,73.19,68.44,68.5,80.88,80.31,76.12
North Western,84.06,81.5,71.56,73.88,81.06,83.62,82.94,79.25,75.5,73.06,82.56,78.75,78.94
North Central,86.81,84.69,73.75,70.62,81.12,83.38,76.44,71.81,65.44,66.12,85.25,83.12,77.38
Uva,90.5,88.81,82.19,79.88,82.75,82.06,74.81,68.5,63.19,70.5,87.19,86,79.69
Sabaragamuwa,89.12,86.5,82,84.12,88.31,90.31,89.12,87.94,85.81,83.56,87.94,85.5,86.69
