Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.13,25.87,27.04,27,26.94,26.48,26.29,26.2,26.23,26.15,26.12,25.64,26.26
Central,22.55,23.49,25.45,25.77,26.11,25.93,25.85,25.83,25.8,25.31,24.28,23.46,24.99
Southern,25.87,26.21,27.22,27.5,27.4,26.91,27.01,26.92,26.96,26.65,26.68,26.15,26.8
Northen,24.41,25.46,27.87,28.8,29.55,29.48,29.23,29.23,29.03,27.16,26.01,25.54,27.65
Easten,25.52,26.21,27.55,28.61,29.67,29.37,29.2,29.3,29.1,27.61,26.7,26.32,27.94
North Western,24.79,26.08,28.37,27.99,28.4,27.9,27.87,27.73,27.91,27.04,26.24,25.54,27.15
North Central,23.65,24.74,27.26,27.9,28.87,28.8,28.66,28.75,28.59,26.58,25.24,24.74,26.99
Uva,22.1,22.66,24.09,25.19,25.48,25.54,26.19,26.05,25.57,24.78,23.89,22.91,24.55
Sabaragamuwa,20.98,21.58,22.91,23.31,23.2,22.81,22.7,22.54,22.53,22.65,22.4,21.65,22.44
