Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,24.76,25.33,26.33,26.47,26.96,26.48,25.77,25.9,26.15,26.25,26.12,25.56,26.01
Central,22.61,23.24,24.35,25.03,25.54,25.1,24.76,25.23,25.37,25.29,24.08,23.33,24.5
Southern,25.58,25.99,27.02,27.05,27.34,27.12,26.58,26.76,26.86,26.79,26.85,26.34,26.69
Northen,24.52,25.01,26.37,27.37,27.88,28.66,28.57,28.18,28.73,27.47,26.16,25.32,27.03
Easten,25.33,25.81,26.96,27.78,28.36,28.55,28.44,28.36,28.72,27.92,26.96,26.33,27.47
North Western,24.66,25.24,26.56,27.27,27.73,27.44,27.1,27.23,27.71,27.26,26.18,25.48,26.66
North Central,23.82,24.37,25.7,26.4,27.05,27.67,27.64,27.51,28.19,26.84,25.3,24.51,26.26
Uva,22.26,22.62,23.79,24.5,25.24,24.6,24.58,25.44,25.76,25.46,23.8,22.9,24.26
Sabaragamuwa,20.98,21.62,22.45,22.75,23.21,22.61,22.08,22.38,22.49,22.65,22.17,21.44,22.24
