Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,26.05,26.54,28.02,28.39,27.73,27.05,26.3,26.33,26.19,26.43,26.64,25.95,26.8
Central,23.24,23.72,26.57,28.19,26.83,25.93,25.21,25.65,25.09,25.65,24.91,23.84,25.4
Southern,26.76,26.94,27.71,28.32,28.27,27.72,27.01,27.07,26.9,27.05,27.15,26.7,27.3
Northen,25.43,25.96,28.07,30.06,29.59,29.08,27.81,28.73,27.68,28.04,26.87,25.54,27.74
Easten,26.55,26.65,27.77,29.44,29.39,29.01,28.12,28.83,28.04,28.46,27.35,26.4,28
North Western,25.59,26.4,29.11,29.85,28.73,28.02,27.27,27.66,27.06,27.54,26.9,25.83,27.5
North Central,24.57,25.13,27.83,29.71,28.56,28.21,27.01,28.19,26.83,27.57,26.1,24.9,27.05
Uva,22.8,23.06,24.83,26.69,26.44,25.9,24.91,25.62,24.85,25.56,24.31,23.43,24.87
Sabaragamuwa,21.73,22.07,23.66,24.81,24.15,23.18,22.56,22.83,22.44,22.8,22.7,22.05,22.92
