Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,2.45,0.87,2.31,8.68,5.62,5.52,2.35,6.6,7.51,14.59,9,12.32,6.52
Central,3.74,1.25,1.15,6.3,5.13,1.69,0.98,3.39,4.96,12.22,10.62,22.39,6.2
Southern,1.88,0.91,2.87,4.62,4.97,4.28,1.58,7.07,6.19,13.35,9.77,13.15,5.92
Northen,5.34,0.86,0.13,2.96,5.01,0.18,0.33,2.77,3.89,8.34,13.83,16.23,5.02
Easten,5.53,1.98,0.24,2.19,3.78,0.11,0.53,3.08,3.99,6.54,14.7,21.63,5.39
North Western,2.95,0.51,0.64,6.95,4.12,0.57,0.4,2.55,4.85,10.33,9.85,14.71,4.9
North Central,5.38,1.12,0.22,4.51,4.83,0.13,0.3,2.33,4.86,8.37,12.81,18.41,5.3
Uva,4,1.34,1.76,4.36,4.71,1.29,0.44,2.69,3.51,13.13,10.69,20.99,5.79
Sabaragamuwa,3.22,1.22,1.89,6.75,5.41,3.69,1.62,5.2,6.04,13.99,9.29,18.54,6.45
