Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.6,25.87,26.92,27.4,27.29,26.71,26.36,26.1,26.47,26.28,25.9,25.94,26.4
Central,23.37,23.39,24.57,26.15,25.93,25.3,25.14,24.94,25.42,25.01,24.19,23.61,24.76
Southern,26.28,26.87,26.97,27.9,28,27.41,27.1,26.65,27.04,27.01,26.81,26.72,27.06
Northen,25.33,25,26.7,28.78,28.56,28.56,28.6,28.38,28.32,27.1,26.02,25.74,27.27
Easten,26.12,26.1,27.34,28.71,28.73,28.71,28.54,28.53,28.58,27.75,26.79,26.71,27.73
North Western,25.42,25.37,27.08,28.45,27.96,27.45,27.26,27.14,27.54,27.04,26.23,25.79,26.9
North Central,24.6,24.33,25.87,27.94,27.59,27.69,27.62,27.8,27.77,26.44,25.31,24.89,26.5
Uva,22.83,23.14,23.56,25.46,25.4,24.88,24.81,24.65,25.04,24.61,23.88,23.13,24.29
Sabaragamuwa,21.61,21.96,22.35,23.67,23.59,22.89,22.71,22.38,22.83,22.66,22.04,21.8,22.55
