Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,84.12,81,76.25,82.81,86.38,87.38,88.25,87.94,87.12,87.25,87.31,83.06,84.94
Central,91.38,87.69,83.5,83.25,87.44,88.25,87.88,86.5,85.62,87.44,91.19,89.81,87.5
Southern,82.75,80,79.75,81.06,83.31,84.75,85.88,86.69,85.94,85.75,84.31,82.19,83.56
Northen,88,82.88,80.19,76.31,80.44,77.81,76.06,75.06,77.38,85.31,90.38,84.44,81.19
Easten,84.81,79.44,78.19,77.12,80.88,79,78.5,75.75,77.19,81.75,86.62,79.81,79.94
North Western,86.88,82.62,77.81,77.94,84,85,84.44,82.25,81.75,84.06,88,84.5,83.25
North Central,90.25,85.44,82.62,78.69,83.31,79.75,78.62,74.94,77.19,85.62,91.75,87.38,82.94
Uva,92.38,89.12,87.19,83.94,86.38,85.81,84.81,83.19,84.56,86.81,89.31,91,87.06
Sabaragamuwa,90.5,87.06,84.81,86.88,90.5,91.56,91.56,90.94,90.75,91.12,92.62,89.94,89.88
