Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,75.81,71.69,79.62,82.44,83.81,86.44,85,85.31,85.94,86.19,84.75,82.56,82.5
Central,77.94,71.5,80.06,76.06,77.5,80.62,78.31,80,80.81,83.06,88.5,88,80.25
Southern,75.12,75.12,79.5,81.38,83.81,86,84.12,83.94,84.06,84.38,83.31,81.25,81.88
Northen,76.69,72.12,77.44,70.31,74.44,72.81,68.94,75.31,77.06,77.06,87.12,82.75,76
Easten,76.44,72.75,78.94,74,76.06,74.56,72.19,74.31,75.94,76.81,84.56,80.25,76.44
North Western,73.19,68.56,75.12,76.38,78.69,79,76.69,78.81,80.12,81.38,83.88,82.25,77.88
North Central,76.69,71.88,79,71,75.88,73.69,69.38,73.94,76.25,77.56,87.94,85,76.56
Uva,82.88,78.81,84.62,76.44,78.38,78.69,72.5,74.12,79.19,82.69,89,89.94,80.62
Sabaragamuwa,81.19,76.56,83.5,82.38,84.69,88.31,86.69,87.12,86.94,87.81,89.25,88.56,85.31
