Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.18,26.23,27.63,27.76,27.42,26.56,25.81,25.51,25.66,25.67,25.54,25.04,26.16
Central,22.85,23.48,26.08,26.83,26.08,25.35,24.85,24.82,24.71,24.29,23.84,22.92,24.68
Southern,26.24,26.8,27.85,28.04,28.02,27.15,26.63,26.62,26.58,26.65,26.33,25.83,26.9
Northen,24.83,25.33,28.18,29.69,29.21,28.92,28.76,28.3,27.6,26.72,26.01,24.94,27.38
Easten,25.91,26.29,28.19,29.56,29.37,29.05,28.6,28.32,27.84,27.26,26.56,25.72,27.73
North Western,25.12,26.28,28.98,28.96,28.33,27.76,27.19,26.78,26.79,26.34,25.95,25.07,26.97
North Central,24.09,24.75,27.94,29.12,28.18,28.23,27.94,27.57,27,25.91,25.18,24.15,26.68
Uva,22.46,22.84,24.47,25.77,25.93,25.01,24.54,25.27,25.38,24.73,23.58,22.58,24.39
Sabaragamuwa,21.16,21.8,23.17,24.11,23.76,22.78,22.17,22.14,22.19,21.98,21.76,21.03,22.33
