Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,4.44,5.47,6.01,6.64,9.15,9.86,5.35,2.43,6.28,7.5,7.09,2.7,6.07
Central,9.65,6.39,4.74,4.88,4.66,4.53,2.71,2.28,3.82,4.62,6.2,4.25,4.88
Southern,5.25,6.33,5.93,6.68,6.97,6.55,5.21,1.64,5.78,5.43,6.95,3.13,5.47
Northen,5.6,7.36,5.42,2.2,3.47,0.74,0.95,2.48,2.65,3.26,6.69,3.79,3.69
Easten,8.48,10.63,7.24,2.03,4.35,0.78,1.5,2.78,1.26,2.18,6.47,5.35,4.39
North Western,4.87,3.49,5.22,2.43,2.97,1.75,1.09,1.62,2.84,4.31,6.6,2.57,3.31
North Central,6.14,6.87,6.35,2.19,3.36,0.54,1,2.51,1.86,3.27,6.62,3.7,3.69
Uva,10.9,7.04,5.15,6.31,4.45,2.6,2.21,1.29,2.98,4.6,5.75,5.23,4.86
Sabaragamuwa,8.42,6.6,4.95,6.59,6.29,6.73,4.09,2.38,4.84,5.69,6.34,3.82,5.55
