Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,78.31,75.62,77,80.56,87,88.56,89.06,89.19,83.56,86.25,84.62,83.25,83.62
Central,85.06,80.69,77.62,76.62,86.88,87.56,83.38,81.69,76.62,85.44,89,89.75,83.38
Southern,77.38,80.69,80.75,82.19,85.94,87.81,87.06,87.38,83.06,84.56,83.62,79.62,83.38
Northen,77.25,73.06,71.69,72.88,82.62,79.75,73.69,71.75,69.12,83.06,85.75,85.62,77.25
Easten,78.38,76.75,76,77.56,81.69,82.38,76.31,73.94,70.81,81.44,82.81,83.06,78.44
North Western,74.62,69.5,69.62,74.25,85,86.38,83.94,81.62,76.5,82.5,84.75,84.44,79.5
North Central,78.38,71.75,71.5,73.75,86.5,83.56,75.38,72.19,67.88,85.06,88,88.19,78.56
Uva,88.56,88.56,85.69,85.25,87.62,86.62,81.44,77.19,74.88,86.44,88.75,89.56,85.06
Sabaragamuwa,86.06,84.94,83.25,83.44,90.31,91.56,89.62,89.06,86.06,89.19,89.56,88.75,87.69
