Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,79.88,79.06,72.56,76.56,83.69,83.62,83.75,84.5,85.62,86.69,84.44,84.38,82.06
Central,86.75,83.56,68.06,64.44,72.44,75.31,75.44,78.69,81.81,88.19,88.88,91.94,79.62
Southern,77.31,79.88,75.25,76.62,82.62,81.56,82.19,82.94,84.94,85.06,85.19,85.38,81.56
Northen,79.12,77.56,67,64.62,68.19,68.25,67.69,73.19,77.81,84.06,85.44,87.06,75
Easten,78.38,79.19,72.5,70.75,69.56,69.88,68.69,73.5,76.75,82.31,81.75,83.19,75.5
North Western,77.38,75.44,62.62,66.12,75.19,76.31,74.12,77.75,80.25,85.56,85.38,87.38,76.94
North Central,82,79.19,64.62,62.94,67.62,67.94,65.5,72.81,77.31,86.56,87.44,89.88,75.31
Uva,87.94,86.94,74.38,68.56,70.44,70.44,70.56,74.88,82.88,88.31,89.69,93,79.81
Sabaragamuwa,87.25,86.38,77.12,75.81,83.62,84.88,84.5,86.69,87.94,89.75,89.62,91,85.38
