Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,80.25,77.31,72.75,77.44,85.44,85.31,86.19,86.62,86.81,85.38,84.06,84.38,82.69
Central,88.25,85.19,71.19,71.31,83.44,83.19,84.56,82.44,84.38,81.94,88.06,90.25,82.81
Southern,80.69,79.62,77.75,80.06,84.31,83.69,84.62,84.38,84.94,84.94,83.25,82.75,82.56
Northen,82.12,77.5,69.88,69.31,76.06,74.12,78.5,73.75,79,77,85.38,88.25,77.56
Easten,78.06,76.38,73.56,74.19,78.5,76.56,78.38,74.75,78.38,75.94,83.69,84.44,77.75
North Western,82.75,77.12,65.31,70.25,81.25,80.88,81,79.38,82.56,79.44,84.5,86.5,79.25
North Central,85.25,80.44,69.06,69,79.62,75.94,79.69,73.38,80.75,76.69,87.44,90,78.94
Uva,89.56,87.81,79.12,76.88,81.25,78.06,82.81,77.56,80.88,77.44,88.5,90.75,82.56
Sabaragamuwa,87.88,86.25,78.88,79.75,88.31,88.62,90,88.44,89.44,88.19,89.31,90,87.12
