Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,81.5,72.81,71.31,81.88,86.19,87.69,87.62,86.44,86.31,87.19,85.12,87.38,83.5
Central,87.31,75.81,69.94,73.25,86.06,84.5,81.69,81.12,81.5,87.75,90.12,93.25,82.75
Southern,81.12,76.12,76.62,80.81,85.06,85.12,85.19,84,83.94,84.69,84.5,85.44,82.75
Northen,82.75,72.31,67.25,69.12,83.12,74.5,71.06,73.19,74.25,83.06,86.81,90.75,77.44
Easten,80.69,73,72.19,72.62,80.69,75.88,73.69,73.81,74,80.56,83.75,88.12,77.44
North Western,80.44,69.31,63,75.38,85.06,83,80.25,79.31,79.69,84.19,86.25,89.38,79.69
North Central,83.94,71.31,65.31,69.31,85.25,76.38,72.5,73,73.75,85.31,89.06,92.56,78.19
Uva,88.88,79.88,76,74.12,81.25,71.69,64.75,70.5,73.25,84.62,89.19,93.44,79
Sabaragamuwa,88.5,82.12,78.56,82.44,89.69,90.06,89.56,88.88,89,90.81,90.75,92.56,87.81
