Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,84.31,81.44,80.88,82.88,87.88,89.5,89.31,88.62,86.69,86.69,81.38,83.5,85.31
Central,91.38,89.12,86.56,84.44,88.19,88.44,87.88,85.31,84.69,83.44,86,89,87
Southern,81.38,80.38,80.94,81.06,87.44,87.5,87.94,87.19,85.12,85.44,80.75,83,84.06
Northen,84.81,84.38,83.62,81.94,84.62,77.62,74.69,73.94,76.44,75.81,83.69,82.31,80.31
Easten,80.88,81.38,81.19,78.38,83,80.12,77.25,76.12,75.31,74.69,80.5,80.69,79.12
North Western,85.75,84.19,82.62,80.44,84.25,83.25,81.5,80.62,79.69,79.94,82.56,81.88,82.19
North Central,88,87.06,85.94,83.94,86.62,79.62,75.88,74.31,75.31,75,85,84.75,81.75
Uva,92,90.38,88.25,84.12,86.12,83,80.94,74.75,75.06,77.81,85.69,89.94,84
Sabaragamuwa,90.94,88.19,86.56,86.88,91.81,92.38,92.25,90.69,90.38,89.94,87,90.12,89.75
