Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,7.31,1.32,5.61,6.2,14.02,7.56,6.02,5.5,6.48,13.02,14.73,3.02,7.61
Central,7.65,2.07,3.4,4.86,8.5,4.21,4.91,3.41,4.42,10.54,15.62,4.63,6.21
Southern,6.46,1.51,7.14,4.97,8.96,5.47,5.87,6.29,6.51,10.51,12.74,5.86,6.9
Northen,9.19,0.94,0.85,2.89,3.09,1.44,2.37,2.26,3.64,10.79,19.89,4.17,5.14
Easten,9.53,1.32,0.85,3.6,3.61,1.79,2.96,1.52,3.58,10.56,19.12,5.09,5.31
North Western,8.17,0.38,1.36,3.85,7.15,2.97,3.41,1.07,3.33,11.09,15.73,2.24,5.09
North Central,8,1.13,1.02,3.88,3.72,1.5,3.08,1.33,3.85,10.62,17.21,4,4.96
Uva,8.17,2.83,5.1,4.27,8,5.18,4.25,5.43,7.96,9.51,18.63,5.71,7.1
Sabaragamuwa,5.95,1.51,5.1,5.19,9.68,5.62,5.3,5.38,5.85,11.04,13.4,4.82,6.6
