Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.7,26.65,28.05,28.53,27.73,26.66,26.05,26.2,26.08,26.4,26.05,25.71,26.65
Central,23.13,23.97,26.32,28.23,26.8,25.45,25.37,25.93,26.15,26.44,24.4,23.87,25.51
Southern,26.83,27.13,27.98,28.76,28.19,27.3,26.71,26.83,26.76,26.91,26.66,26.65,27.23
Northen,25.12,25.95,28.19,30.73,29.11,27.87,28.25,28.87,29.33,29.03,26.38,25.36,27.85
Easten,26.29,26.98,28.08,30.04,29.28,28.37,28.52,29.05,29.57,29.12,27.01,26.2,28.21
North Western,25.33,26.26,28.83,29.89,28.62,27.54,27.07,27.58,27.69,27.94,26.36,26.01,27.43
North Central,24.3,25.16,27.65,30.06,28.3,27.04,27.54,28.37,29.05,28.69,25.57,24.79,27.22
Uva,22.87,23.41,24.84,26.91,26.1,24.93,25.52,26.73,27.26,26.53,23.89,23.23,25.19
Sabaragamuwa,21.7,22.31,23.91,25.01,24.05,22.86,22.51,22.76,22.72,23.06,22.35,21.76,22.91
