Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,3,1.49,3.29,10.9,13.58,7.89,5.47,4.77,6.95,7.66,17.23,11.23,7.81
Central,3.25,1.59,2.84,8.05,5.51,3.81,3.85,4.28,5.78,6.31,16.7,14.35,6.38
Southern,3.48,1.98,3.79,8.77,11.84,5.24,4.39,4.11,5.47,5.05,16.25,11.97,6.88
Northen,2.28,0.11,0.98,4.23,2.25,0.71,1.21,3.13,6.58,3.98,14.06,14.14,4.49
Easten,2.26,0.57,0.78,4.31,2.31,1.05,1.83,3.88,7.31,3.8,13.24,18.75,5.03
North Western,1.6,0.32,1.55,6.18,3.19,1.43,1.99,3.06,7.12,5.39,13.54,9.64,4.59
North Central,2.11,0.39,1.02,4.97,2.26,0.57,1.36,3.31,7.12,4.01,12.85,13.37,4.46
Uva,4.37,1.71,3.19,8.5,6.33,3.51,2.26,2.93,4.58,5.05,17.03,16.24,6.32
Sabaragamuwa,3.58,1.72,3.83,9.41,8.91,5.64,4.66,4.17,5.43,6.61,16.78,12.6,6.96
