Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,1.38,2.65,2.9,4.98,17.06,3.88,2.19,1.04,1,4.42,9.64,2.61,4.49
Central,2.55,1.81,2.41,2.81,13.44,1.77,1.4,0.32,0.21,2.66,7.53,2.32,3.28
Southern,2,4.28,3.16,4.31,16.09,2.69,2.56,1.18,0.93,5.6,9.88,3.69,4.7
Northen,2.61,0.66,0.67,0.92,13.67,0.39,0.88,0.56,0.1,2.96,7.4,3.2,2.85
Easten,3.66,1.11,1.43,1.91,18.2,0.63,0.81,0.35,0.07,3.55,9.49,2.69,3.68
North Western,0.9,1.51,1.13,2.62,12.27,1.58,0.61,0.21,0.1,2.5,7.02,1.47,2.66
North Central,2.76,0.99,0.9,1.69,14.21,0.51,0.79,0.24,0.05,3.24,7.5,2.43,2.96
Uva,2.53,3.17,2.3,2.52,11,1.48,1.71,0.52,0.62,4.49,6.87,3.5,3.4
Sabaragamuwa,2.09,2.62,2.67,3.43,13.36,2.21,2.03,0.6,0.54,3.13,7.34,2.73,3.57
