Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,78.19,79,76.94,83.69,84,86.81,86.75,84.88,85.5,85.19,83.31,85.19,83.31
Central,86.56,86.38,75.69,84.19,80.69,81,80.56,78.25,78.94,83.62,88.06,91.94,83
Southern,78.75,81.19,78.25,82.69,83,86,84.31,83.38,83.69,84.25,82.69,84.69,82.75
Northen,81.81,81.88,72.06,74.94,71.69,68.69,69.75,67.62,69.94,82.5,85.44,87.25,76.12
Easten,77.69,79.62,75.06,76.5,72.44,71.88,72,69.44,71.44,80.75,82.44,83.62,76.06
North Western,80.69,78.88,70.12,79.25,77.44,78.69,77.75,76.31,76.44,82.25,83.69,87.94,79.12
North Central,84.56,84.12,72.44,77.25,71.44,69.56,69.75,67,68.88,83.31,88.19,90.31,77.19
Uva,88.31,89.5,81.31,84.75,80.19,77.62,72.19,72,75.88,83.56,88.62,92.38,82.12
Sabaragamuwa,85.94,86.81,80.5,88.12,87.69,89.56,88.94,87.88,88.25,88.56,89.12,90.94,87.69
