Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,81.56,81.06,76.06,83,86.19,87.12,87.25,86.06,86.75,87.44,86.38,85.44,84.56
Central,88.88,88.06,83.44,84.12,87.25,86.69,82.19,79.56,81.88,87.31,90.75,91.56,85.94
Southern,79.88,81,79.69,81.38,85.75,85,85.19,84.5,85.38,85.12,84.44,84.88,83.56
Northen,84.31,83.25,80.5,81.06,85.88,84.19,76.38,74.62,79.12,83.62,89.25,87.88,82.5
Easten,80.56,79.62,78.94,80.44,82.62,82.69,76.75,74.75,77.94,82.12,85.88,84.12,80.5
North Western,83.25,82.56,76.5,80.31,85.5,84.75,82.06,79.69,81.88,83.69,87.75,87.62,82.94
North Central,86.75,85.81,83.25,84.5,87.69,85.5,77,74.38,80.25,86.12,91.06,90.44,84.38
Uva,89.56,89.56,86.38,85.75,87,85.81,83.75,82.12,84.81,88.69,90.88,92.38,87.19
Sabaragamuwa,88.12,88,83.44,87.19,90.81,91,89.75,88.62,89.56,91.12,91.25,91.31,89.19
