Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.01,25.72,27.06,27.51,27.03,25.98,25.62,25.64,25.87,26.03,26.36,25.35,26.09
Central,22.56,23.4,25,26.18,25.74,24.8,24.46,24.91,24.89,25.19,24.37,23.08,24.55
Southern,26.06,26.48,27.58,28.15,27.4,26.64,26.31,26.26,26.55,26.65,26.87,26.04,26.75
Northen,24.83,25.47,26.5,28.11,28.01,28.01,27.94,28.36,27.82,27.9,26.4,25.1,27.05
Easten,25.82,26.26,27.26,28.73,28.44,27.97,27.9,28.31,28.27,28.38,27.12,25.83,27.53
North Western,24.85,25.6,26.9,28.2,27.92,27.11,26.88,27.14,27.13,27.25,26.44,25.39,26.74
North Central,23.99,24.71,25.88,27.32,27.12,27.12,27.18,27.74,27.38,27.51,25.72,24.42,26.35
Uva,22.2,22.91,24.31,25.79,25.33,24.48,24.32,25.55,25.56,25.44,23.99,22.83,24.4
Sabaragamuwa,20.95,21.62,23.19,23.92,23.34,22.24,21.86,22.19,22.16,22.38,22.38,21.36,22.3
