Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,0.86,4,4.3,9.77,5.81,4.77,2.6,3.67,9.08,13.1,14.28,8.1,6.69
Central,0.41,5.26,2.74,7.13,4.38,2.61,1.1,2.41,5.18,12.25,14.65,9.03,5.58
Southern,1.31,5.12,4.4,10.28,4.9,4.77,3.32,5.35,12.12,11.29,13.33,8.11,7.01
Northen,0.26,4.56,2.16,5.76,6.25,0.58,0.14,2.12,5.12,10.02,17.94,8.61,5.28
Easten,0.5,5.85,2.3,6.6,6.55,0.9,0.29,2.18,6.26,13.48,18.02,10.83,6.13
North Western,0.22,2.53,2.18,7.73,5.5,1.04,0.28,2.02,4.41,8.84,13.71,8.35,4.73
North Central,0.34,5.24,2.22,6.55,6.21,0.58,0.12,2.35,5.8,10.72,16.24,8.92,5.42
Uva,0.99,6.87,3.68,7.79,4.77,5.02,2.29,3.14,9.43,14.54,15.53,9.53,6.94
Sabaragamuwa,0.74,5.62,3.6,8.71,4.38,4.25,2.01,3.19,7.37,12.29,13.15,8.41,6.12
