Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,1.03,2.45,3.96,8.82,13.35,5.5,2.47,2.84,3.9,8.96,9.9,3.9,5.6
Central,1.17,2.78,3.04,5.02,10.96,2.75,1.25,1.79,2.84,6.32,9.47,4.11,4.3
Southern,1.35,3.04,5.65,7.89,13.01,4.76,2.86,2.87,4.49,7.5,7.82,3.67,5.42
Northen,0.95,1.4,1.8,2.34,6.96,0.61,0.47,0.98,1.41,8.85,7.9,3.82,3.14
Easten,1.18,2.89,2.21,3.89,8.18,0.9,0.48,0.82,1.8,9.58,8.21,3.88,3.67
North Western,0.53,1.14,1.67,4.76,10.15,1.5,0.41,0.87,1.87,7.69,6.76,2.53,3.34
North Central,0.91,1.92,2.01,3.39,8.81,0.72,0.33,0.91,1.72,9.04,7.6,3.81,3.44
Uva,2.14,3.38,4.65,5.57,12.42,3.23,1.71,1.77,3.58,5.91,7.45,3.97,4.65
Sabaragamuwa,1.49,2.6,4.03,6.27,11.25,3.92,2.17,2.39,3.71,6.31,8.27,3.87,4.7
