Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,25.06,25.51,27.15,27.28,27.22,26.92,26.43,26.52,26.27,26.2,26.19,26.25,26.42
Central,22.65,23.27,24.55,25.93,25.8,25.6,25.75,26.15,25.69,25,24.34,24.17,24.91
Southern,25.98,26.27,27.2,27.71,27.69,27.64,27.18,27.18,26.92,26.92,26.82,26.8,27.03
Northen,24.55,25.14,26.68,27.9,27.82,27.76,28.51,28.78,27.86,27.19,26.26,25.96,27.05
Easten,25.55,26.15,27.23,28.14,28.46,28.29,28.74,29.03,28.24,27.71,26.9,26.83,27.62
North Western,24.85,25.43,27.3,27.95,27.82,27.62,27.48,27.8,27.29,27.01,26.3,26.12,26.92
North Central,23.84,24.47,25.8,26.94,27.03,26.96,27.76,28.19,27.08,26.31,25.53,25.26,26.27
Uva,22.29,22.76,23.73,25.1,25.32,24.99,24.73,25.03,24.79,24.49,23.87,23.63,24.23
Sabaragamuwa,21.06,21.42,22.71,23.65,23.35,23.05,22.77,22.93,22.7,22.69,22.36,22.35,22.59
