Province,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Western,6.73,6.85,4.48,13.18,5.71,3.59,3.56,4.21,4.5,8.97,8.96,4.13,6.22
Central,16.47,13.09,3.88,9.76,3.56,1.3,1.56,2.09,3.2,9.97,8.37,6.23,6.58
Southern,11.36,7.59,7.92,9.64,5.04,2.49,2.94,5.3,3.93,6.95,10.43,4.5,6.5
Northen,10.38,8.98,0.68,7.85,0.56,0.2,0.74,2.99,0.76,9.73,14.09,6.75,5.27
Easten,20.83,16.06,2.05,8.99,0.95,0.23,1.02,3.34,1.58,14.57,13.25,8.2,7.54
North Western,5.91,6.15,1.32,8.56,1.72,0.71,1.06,1.75,1.45,7.72,8.22,3.48,3.98
North Central,12.34,10.73,1.17,8.52,0.69,0.21,0.77,2.95,0.8,10.32,12.61,5.91,5.54
Uva,20.67,15.76,6.14,8.32,3.26,0.99,1.21,2.3,2.6,8.83,10.34,7.04,7.24
Sabaragamuwa,13.67,11.68,5.11,10.3,4.8,2.18,2.41,3.14,4.01,8.92,8.24,5.23,6.61
