Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,3367,2478,1473,1530,1163,2357,5499,2458,1660,784,801,3872,27442
Central,430,271,146,161,201,631,1685,694,507,261,190,455,5632
Southern,512,306,200,219,195,322,925,444,460,348,414,1025,5370
Northen,964,438,245,185,121,137,322,201,195,190,296,922,4216
Easten,264,143,94,81,55,90,165,72,65,29,30,287,1375
North Western,447,330,168,172,247,448,742,316,172,84,136,340,3602
North Central,158,113,57,83,49,71,247,129,97,50,53,103,1210
Uva,143,72,78,74,50,131,239,131,173,218,134,217,1660
Sabaragamuwa,409,288,235,327,341,544,891,428,300,221,203,456,4643
