Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,2319,1340,1019,714,1017,2287,2842,1960,856,696,1800,2420,19270
Central,643,356,159,226,428,514,652,497,310,229,417,414,4845
Southern,432,367,291,165,116,189,388,299,139,129,255,326,3096
Northen,1341,631,437,285,299,678,668,437,219,281,690,1145,7111
Easten,722,601,625,650,933,954,565,251,111,137,349,409,6307
North Western,1042,579,300,162,223,279,434,241,157,175,521,361,4474
North Central,152,143,82,72,101,114,187,94,50,34,87,93,1209
Uva,261,160,109,79,77,137,146,142,72,68,98,118,1467
Sabaragamuwa,366,313,258,265,366,361,573,372,135,156,320,295,3780
