Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,2093,1644,1286,984,1162,2795,2631,2454,1160,1488,1803,1314,20814
Central,339,276,214,182,244,437,346,447,202,238,262,268,3455
Southern,349,318,361,221,214,427,454,560,252,309,296,191,3952
Northen,193,107,89,47,70,94,70,88,74,186,315,388,1721
Easten,304,145,121,47,64,63,48,47,23,42,65,71,1040
North Western,290,249,183,155,238,520,504,543,573,470,748,864,5337
North Central,63,64,57,37,46,93,53,72,38,48,49,162,782
Uva,56,45,36,26,42,95,81,76,51,58,78,73,717
Sabaragamuwa,299,297,281,329,470,1431,1006,979,484,342,418,307,6643
