Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,3278,1492,475,112,395,732,676,548,451,233,145,196,8733
Central,1027,428,174,46,255,485,645,434,298,220,138,56,4206
Southern,1034,447,108,53,265,191,164,94,94,64,40,30,2584
Northen,1942,861,220,76,130,95,87,58,99,85,38,60,3751
Easten,2695,1307,404,129,123,92,100,49,54,244,286,848,6331
North Western,645,257,91,12,42,83,81,104,40,47,22,45,1469
North Central,265,172,67,10,16,46,29,13,19,23,9,15,684
Uva,230,91,33,9,15,30,23,21,14,12,17,30,525
Sabaragamuwa,492,313,111,64,307,498,483,238,145,102,86,40,2879
