Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,2895,1773,898,582,865,818,1349,1036,644,1164,1539,2019,15582
Central,457,274,134,84,89,94,87,59,76,181,152,219,1906
Southern,277,215,139,81,63,43,93,131,116,264,250,215,1887
Northen,978,364,163,84,128,111,110,80,87,120,275,590,3090
Easten,476,448,275,205,209,130,99,33,21,40,58,134,2128
North Western,585,263,142,93,94,103,147,84,39,79,184,179,1992
North Central,169,126,40,27,24,24,36,25,22,33,54,71,651
Uva,241,89,45,38,29,48,49,33,12,51,77,77,789
Sabaragamuwa,267,179,126,99,124,106,155,123,82,134,173,184,1752
