Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,307,392,768,912,424,989,1776,482,452,1403,1814,2964,12683
Central,84,54,70,108,47,60,192,103,44,137,176,276,1351
Southern,65,76,91,150,51,187,241,69,80,165,137,275,1587
Northen,100,82,100,94,52,28,17,8,3,23,54,578,1139
Easten,1147,1027,460,307,102,61,32,13,10,36,68,190,3453
North Western,112,87,214,211,68,111,254,95,53,177,275,678,2335
North Central,15,15,40,44,42,26,37,22,13,14,22,47,337
Uva,19,11,28,43,17,73,72,28,17,137,218,258,921
Sabaragamuwa,61,75,145,153,73,51,155,58,19,83,126,262,1261
