Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,4950,3435,5173,5381,7447,11521,19122,8650,3160,1939,2737,3367,76882
Central,431,342,556,600,1084,2844,4915,3047,1296,1025,1120,1211,18471
Southern,1604,1174,1100,952,1154,1588,3390,2265,1009,511,725,702,16174
Northen,1496,1055,1505,931,636,577,894,647,577,839,862,1732,11751
Easten,655,1177,3001,2190,1102,706,652,396,273,251,409,736,11548
North Western,599,513,717,947,1893,2813,3604,2679,995,869,1784,1697,19110
North Central,220,211,353,365,409,568,1029,403,150,135,218,264,4325
Uva,323,227,251,293,350,849,1789,838,573,516,508,469,6986
Sabaragamuwa,649,590,884,851,1861,3853,5726,3345,1486,529,505,575,20854
