Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,2245,1138,790,936,2906,3829,3180,2115,1413,2262,2741,2598,26153
Central,160,98,60,72,155,411,337,336,221,399,530,520,3299
Southern,234,114,89,74,139,323,478,225,193,306,219,243,2637
Northen,201,136,108,87,105,181,202,164,160,335,687,715,3081
Easten,117,120,231,220,226,173,111,59,34,72,165,261,1789
North Western,256,148,136,88,95,386,419,361,234,371,463,423,3380
North Central,143,89,65,72,51,123,168,72,52,93,107,155,1190
Uva,79,67,57,21,66,124,127,116,96,156,265,252,1426
Sabaragamuwa,175,101,112,112,549,1186,699,574,237,303,275,224,4547
