Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,1313,1353,719,543,776,1375,2636,1513,608,424,197,252,11709
Central,377,298,166,141,163,224,483,317,135,106,47,64,2521
Southern,121,251,212,189,140,294,537,401,234,98,33,26,2536
Northen,1435,1166,295,233,111,325,369,375,139,124,125,152,4849
Easten,550,610,372,263,79,103,178,92,44,30,25,59,2405
North Western,405,331,185,104,151,257,437,296,127,78,46,71,2488
North Central,300,338,165,98,81,99,134,97,81,41,31,47,1512
Uva,121,107,104,114,122,211,686,538,185,93,68,64,2413
Sabaragamuwa,183,277,310,319,327,549,653,542,310,143,75,67,3755
