Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,491,563,538,844,1064,2332,3184,1359,1323,1020,994,2201,15913
Central,39,54,57,101,107,154,334,134,308,315,220,429,2252
Southern,37,45,92,182,242,211,302,145,178,135,210,311,2090
Northen,86,50,59,45,26,42,57,41,59,48,58,183,754
Easten,50,64,131,230,163,160,94,38,69,139,313,615,2066
North Western,103,113,109,87,112,168,240,107,115,98,122,237,1611
North Central,26,56,34,49,69,83,79,44,40,40,18,65,603
Uva,39,45,30,69,47,83,233,71,80,69,89,89,944
Sabaragamuwa,62,62,68,164,137,238,294,167,273,263,179,333,2240
