Province,January,February,March,April,May,June,July,August,September,October,November,December,Total
Western,1379,1319,1248,937,1231,1243,1731,1902,1078,964,1722,1786,16540
Central,258,294,213,130,202,244,270,346,155,99,153,166,2530
Southern,137,170,197,115,166,152,166,170,129,77,122,170,1771
Northen,247,248,265,189,154,69,46,77,63,71,84,152,1665
Easten,91,136,144,97,110,68,73,65,49,44,49,79,1005
North Western,895,655,401,201,247,251,200,246,144,135,149,172,3696
North Central,114,114,137,77,75,47,66,109,85,69,75,109,1077
Uva,76,68,72,55,63,64,105,84,57,50,70,49,813
Sabaragamuwa,265,254,319,308,366,289,267,283,152,127,187,149,2966
